time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
520.333,87801.294,27,91402.889538
520.367,87801.294,27,91400.920262
520.4,83741.042,21,91398.950986
520.433,83741.042,21,91396.98171
520.467,83195.25,20,91395.012434
520.5,83195.25,20,91390.97922700002
520.533,83195.25,20,91386.94602
520.567,83195.25,20,91382.91281299999
520.6,83195.25,20,91378.87960599999
520.633,86054.512,24,91375.72162899999
520.667,86054.512,24,91372.563652
520.7,86054.512,24,91369.405675
520.733,86054.512,24,91366.24769799999
520.767,86054.512,24,91363.089721
520.8,86054.512,24,91362.891809
520.833,86054.512,24,91362.693897
520.867,86054.512,24,91362.495985
520.9,84685.114,22,91364.436989
520.933,84685.114,22,91366.377993
520.967,84685.114,22,91368.318997
521.0,84685.114,22,91370.260001
521.033,84685.114,22,91372.201005
521.067,84685.114,22,91368.787347
521.1,84685.114,22,91365.373689
521.133,84685.114,22,91361.96003100001
521.167,84685.114,22,91358.546373
521.2,84685.114,22,91355.132715
521.233,84685.114,22,91351.71905700001
521.267,84685.114,22,91348.30539899999
521.3,84685.114,22,91344.891741
521.333,84685.114,22,91344.27096699999
521.367,84685.114,22,91343.65019300001
521.4,84685.114,22,91343.029419
521.433,89497.678,27,91344.91879599998
521.467,89497.678,27,91346.80817300001
521.5,89497.678,27,91348.734428
521.533,89497.678,27,91342.31399000001
521.567,91995.538,30,91335.893552
521.6,91995.538,30,91329.47311400001
521.633,91995.538,30,91323.05267599999
521.667,91995.538,30,91316.632238
521.7,89152.254,27,91307.64387100001
521.733,89152.254,27,91298.655504
521.767,89152.254,27,91289.66713700001
521.8,89152.254,27,91291.128728
521.833,88527.789,26,91292.590319
521.867,88527.789,26,91294.05191
521.9,88527.789,26,91295.51350100001
521.933,88527.789,26,91296.975092
521.967,88527.789,26,91298.43668299999
522.0,88527.789,26,91298.707122
522.033,88527.789,26,91298.977561
522.067,88527.789,26,91299.248
522.1,88527.789,26,91299.522127
522.133,88527.789,26,91299.79625399999
522.167,88527.789,26,91300.070381
522.2,88527.789,26,91300.34450799998
522.233,88527.789,26,91300.618635
522.267,88527.789,26,91299.622935
522.3,90579.428,30,91298.62723499999
522.333,90579.428,30,91297.631535
522.367,90579.428,30,91299.286127
522.4,90579.428,30,91300.94071899999
522.433,90579.428,30,91302.322415
522.467,90579.428,30,91304.25235899999
522.5,90579.428,30,91306.18230300001
522.533,90579.428,30,91308.11224700001
522.567,86712.169,24,91310.042191
522.6,86712.169,24,91311.871338
522.633,86712.169,24,91319.007209
522.667,86712.169,24,91326.14308
522.7,86712.169,24,91333.25313699999
522.733,86712.169,24,91339.232273
522.767,90265.966,30,91345.211409
522.8,90265.966,30,91351.190545
522.833,90265.966,30,91358.298143
522.867,90265.966,30,91361.952742
522.9,90265.966,30,91365.60734100001
522.933,90277.029,30,91369.26194
522.967,90277.029,30,91370.67682000001
523.0,90277.029,30,91372.0917
523.033,88001.664,28,91373.50658000002
523.067,88001.664,28,91374.92146
523.1,88001.664,28,91375.39595399999
523.133,88001.664,28,91375.870448
523.167,88001.664,28,91376.344942
523.2,88001.664,28,91377.092332
523.233,90305.3,34,91377.800385
523.267,90305.3,34,91378.50843799999
523.3,90305.3,34,91379.216491
523.333,90305.3,34,91379.924544
523.367,90305.3,34,91380.659641
523.4,90305.3,34,91381.394738
523.433,90305.3,34,91373.40699
523.467,90305.3,34,91365.419242
523.5,88355.691,30,91357.431494
523.533,88355.691,30,91349.44374599999
523.567,88355.691,30,91341.455998
523.6,88355.691,30,91333.46825
523.633,88355.691,30,91325.480502
523.667,88355.691,30,91319.12275499999
523.7,96751.557,35,91319.60339500001
523.733,96751.557,35,91320.08403499999
523.767,96751.557,35,91320.564675
523.8,96751.557,35,91325.31946
523.833,95230.957,35,91330.107436
523.867,95230.957,35,91335.03677299999
523.9,95230.957,35,91339.92062799999
523.933,95230.957,35,91343.96243700001
523.967,90955.583,30,91348.004246
524.0,90955.583,30,91352.046055
524.033,90955.583,30,91356.087864
524.067,90955.583,30,91355.666222
524.1,87961.099,26,91355.24458
524.133,87961.099,26,91356.706168
524.167,87961.099,26,91358.167756
524.2,87961.099,26,91360.74182600001
524.233,87961.099,26,91363.315896
524.267,87961.099,26,91369.773207
524.3,87961.099,26,91375.992044
524.333,87961.099,26,91382.21088099999
524.367,95175.641,32,91388.429718
524.4,95175.641,32,91394.7555
524.433,95175.641,32,91401.078824
524.467,95175.641,32,91407.40214800001
524.5,95175.641,32,91413.730389
524.533,95175.641,32,91419.512838
524.567,95175.641,32,91425.88041600001
524.6,95175.641,32,91432.247994
